PG.ProteinGroups,PG.Genes,short.name,GO,sub.cell,description,GO.ID,ConditionNorm_N40_N_2,ConditionNorm_N40_N_3,ConditionNorm_N40_N_4,ConditionNorm_N40_N_5,ConditionNorm_N41_T_1,ConditionNorm_N41_T_2,ConditionNorm_N41_T_3,ConditionNorm_N41_T_4,ConditionNorm_N41_T_5,MedianConditionNormN41N,MedianConditionNormN41T,logFC,AveExpr,t,P.Value,adj.P.Val,B,mass,neglog(adj.P.Val),TotalPeptidesOverallInGene,N41N_Undetected,N41T_Undetected,LysoAssociated,LiveAssociated,NES
O95948,ONECUT2,ONEC2_HUMAN,"actin cytoskeleton [GO:0015629]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0001077]; animal organ morphogenesis [GO:0009887]; cell differentiation [GO:0030154]; cell fate commitment [GO:0045165]; cilium assembly [GO:0060271]; endocrine pancreas development [GO:0031018]; epithelial cell development [GO:0002064]; liver development [GO:0001889]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; peripheral nervous system neuron development [GO:0048935]; positive regulation of cell migration [GO:0030335]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of cell-matrix adhesion [GO:0001952]",SUBCELLULAR LOCATION: Nucleus.,One cut domain family member 2 (Hepatocyte nuclear factor 6-beta) (HNF-6-beta) (One cut homeobox 2) (Transcription factor ONECUT-2) (OC-2),GO:0000978; GO:0000981; GO:0001077; GO:0001889; GO:0001952; GO:0002064; GO:0005634; GO:0005654; GO:0009887; GO:0015629; GO:0030154; GO:0030335; GO:0030512; GO:0031018; GO:0045165; GO:0045944; GO:0048935; GO:0060271,0.088690892,0.223426265,0.237165655,0.308452905,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.019898291,1.00E-07,-0.064327152,0.032163676,-1.262872502,0.240311193,0.354995572,-7.703162217,"54,303",0.449777063,6,2,5,,,1
Q96PU5,NEDD4L,NED4L_HUMAN,cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; intracellular [GO:0005622]; multivesicular body [GO:0005771]; nucleoplasm [GO:0005654]; ion channel binding [GO:0044325]; potassium channel inhibitor activity [GO:0019870]; potassium channel regulator activity [GO:0015459]; sodium channel inhibitor activity [GO:0019871]; sodium channel regulator activity [GO:0017080]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; cellular sodium ion homeostasis [GO:0006883]; excretion [GO:0007588]; ion transmembrane transport [GO:0034220]; negative regulation of potassium ion transmembrane transport [GO:1901380]; negative regulation of potassium ion transmembrane transporter activity [GO:1901017]; negative regulation of protein localization to cell surface [GO:2000009]; negative regulation of sodium ion transmembrane transport [GO:1902306]; negative regulation of sodium ion transmembrane transporter activity [GO:2000650]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of caveolin-mediated endocytosis [GO:2001288]; positive regulation of dendrite extension [GO:1903861]; positive regulation of endocytosis [GO:0045807]; positive regulation of protein catabolic process [GO:0045732]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K48-linked ubiquitination [GO:0070936]; protein monoubiquitination [GO:0006513]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; regulation of ion transmembrane transport [GO:0034765]; regulation of membrane depolarization [GO:0003254]; regulation of membrane potential [GO:0042391]; regulation of membrane repolarization [GO:0060306]; regulation of potassium ion transmembrane transporter activity [GO:1901016]; regulation of protein catabolic process [GO:0042176]; regulation of protein stability [GO:0031647]; response to metal ion [GO:0010038]; sodium ion transport [GO:0006814]; ubiquitin-dependent protein catabolic process [GO:0006511]; ventricular cardiac muscle cell action potential [GO:0086005]; viral life cycle [GO:0019058]; water homeostasis [GO:0030104],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15496141, ECO:0000269|PubMed:18819914, ECO:0000269|PubMed:27694961}. Golgi apparatus {ECO:0000269|PubMed:26363003}. Endosome, multivesicular body {ECO:0000269|PubMed:26363003}. Note=May be recruited to exosomes by NDFIP1.",E3 ubiquitin-protein ligase NEDD4-like (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase NED4L) (NEDD4.2) (Nedd4-2),GO:0000122; GO:0000209; GO:0003254; GO:0004842; GO:0005622; GO:0005654; GO:0005737; GO:0005771; GO:0005794; GO:0005829; GO:0006511; GO:0006513; GO:0006814; GO:0006883; GO:0007588; GO:0010038; GO:0015459; GO:0016567; GO:0017080; GO:0019058; GO:0019870; GO:0019871; GO:0030104; GO:0031647; GO:0034220; GO:0034765; GO:0042176; GO:0042391; GO:0043161; GO:0044325; GO:0045732; GO:0045807; GO:0060306; GO:0061630; GO:0070062; GO:0070936; GO:0086005; GO:1901016; GO:1901017; GO:1901380; GO:1902306; GO:1903861; GO:2000009; GO:2000650; GO:2001288,1.00E-07,1.00E-07,1.00E-07,0.003899679,1.00E-07,1.00E-07,1.00E-07,0.003447657,0.003983056,0.003658591,1.00E-07,-0.012355102,0.007663754,-1.199695038,0.262757601,0.383255526,-7.776889718,"111,932",0.416511575,23,2,3,,,1
O75923,DYSF,DYSF_HUMAN,cytoplasmic vesicle membrane [GO:0030659]; early endosome [GO:0005769]; endocytic vesicle [GO:0030139]; endosome [GO:0005768]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; lamellipodium [GO:0030027]; late endosome [GO:0005770]; microtubule organizing center [GO:0005815]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; T-tubule [GO:0030315]; calcium ion binding [GO:0005509]; calcium-dependent phospholipid binding [GO:0005544]; phospholipid binding [GO:0005543]; muscle contraction [GO:0006936]; plasma membrane repair [GO:0001778]; vesicle fusion [GO:0006906],"SUBCELLULAR LOCATION: Cell membrane, sarcolemma; Single-pass type II membrane protein. Cytoplasmic vesicle membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}. Cell membrane. Note=Colocalizes, during muscle differentiation, with BIN1 in the T-tubule system of myotubules and at the site of contact between two myotubes or a myoblast and a myotube. Wounding of myotubes led to its focal enrichment to the site of injury and to its relocalization in a Ca(2+)-dependent manner toward the plasma membrane. Colocalizes with AHNAK, AHNAK2 and PARVB at the sarcolemma of skeletal muscle. Detected on the apical plasma membrane of the syncytiotrophoblast. Reaches the plasmma membrane through a caveolin-independent mechanism. Retained by caveolin at the plasmma membrane (By similarity). Colocalizes, during muscle differentiation, with CACNA1S in the T-tubule system of myotubules (By similarity). Accumulates and colocalizes with fusion vesicles at the sarcolemma disruption sites (By similarity). {ECO:0000250}.",Dysferlin (Dystrophy-associated fer-1-like protein) (Fer-1-like protein 1),GO:0001778; GO:0005509; GO:0005543; GO:0005544; GO:0005768; GO:0005769; GO:0005770; GO:0005815; GO:0005886; GO:0006906; GO:0006936; GO:0016021; GO:0030027; GO:0030139; GO:0030315; GO:0030659; GO:0042383; GO:0070062,0.083780836,0.357423399,0.083871055,0.699543463,1.00E-07,0.052011362,0.004446494,0.000968801,1.00E-07,1.00E-07,0.000968801,0.011485271,0.005742736,1.158975077,0.278114701,0.402291697,-7.822985322,"237,295",0.395458931,12,5,2,,,1
Q99836,MYD88,MYD88_HUMAN,cytoplasm [GO:0005737]; cytosol [GO:0005829]; endosome membrane [GO:0010008]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; death receptor binding [GO:0005123]; identical protein binding [GO:0042802]; protein self-association [GO:0043621]; TIR domain binding [GO:0070976]; 3'-UTR-mediated mRNA stabilization [GO:0070935]; apoptotic process [GO:0006915]; cell surface receptor signaling pathway [GO:0007166]; cellular response to mechanical stimulus [GO:0071260]; cellular response to oxidised low-density lipoprotein particle stimulus [GO:0140052]; defense response to Gram-positive bacterium [GO:0050830]; inflammatory response [GO:0006954]; interleukin-1-mediated signaling pathway [GO:0070498]; MyD88-dependent toll-like receptor signaling pathway [GO:0002755]; negative regulation of apoptotic process [GO:0043066]; positive regulation of cytokine production involved in inflammatory response [GO:1900017]; positive regulation of gene expression [GO:0010628]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of interleukin-17 production [GO:0032740]; positive regulation of interleukin-23 production [GO:0032747]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of type I interferon production [GO:0032481]; regulation of inflammatory response [GO:0050727]; response to interleukin-1 [GO:0070555]; signal transduction [GO:0007165]; toll-like receptor 9 signaling pathway [GO:0034162]; toll-like receptor signaling pathway [GO:0002224]; type I interferon signaling pathway [GO:0060337],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15361868, ECO:0000269|PubMed:15492225}. Nucleus {ECO:0000269|PubMed:21057262}.",Myeloid differentiation primary response protein MyD88,GO:0002224; GO:0002755; GO:0005123; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0006915; GO:0006954; GO:0007165; GO:0007166; GO:0010008; GO:0010628; GO:0032481; GO:0032740; GO:0032747; GO:0032755; GO:0034162; GO:0042802; GO:0043066; GO:0043123; GO:0043621; GO:0050727; GO:0050830; GO:0051092; GO:0060337; GO:0070498; GO:0070555; GO:0070935; GO:0070976; GO:0071260; GO:0140052; GO:1900017,0.058629428,0.011992367,1.00E-07,0.022680775,0.138779995,0.211874449,0.053660408,0.164354747,0.07447961,0.077207732,0.138779995,0.042013349,0.107623167,1.102905293,0.300434464,0.429205355,-7.884549284,"33,233",0.367334868,12,0,0,,1,1
Q9BVV7,TIMM21,TIM21_HUMAN,integral component of membrane [GO:0016021]; mitochondrial inner membrane presequence translocase complex [GO:0005744]; mitochondrial respiratory chain complex I assembly [GO:0032981]; mitochondrial respiratory chain complex IV assembly [GO:0033617]; protein import into mitochondrial matrix [GO:0030150],SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.,"Mitochondrial import inner membrane translocase subunit Tim21 (TIM21-like protein, mitochondrial)",GO:0005744; GO:0016021; GO:0030150; GO:0032981; GO:0033617,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.371189065,0.102141395,1.00E-07,-0.146901601,0.147688693,-1.080741178,0.309639149,0.43984077,-7.908256444,"28,202",0.356704517,3,0,4,,,1
Q8NFP4,MDGA1,MDGA1_HUMAN,anchored component of plasma membrane [GO:0046658]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]; brain development [GO:0007420]; neuron migration [GO:0001764]; spinal cord association neuron differentiation [GO:0021527],"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15922729}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:15922729}. Note=Associated with lipid rafts.",MAM domain-containing glycosylphosphatidylinositol anchor protein 1 (GPI and MAM protein) (GPIM) (Glycosylphosphatidylinositol-MAM) (MAM domain-containing protein 3),GO:0001764; GO:0005576; GO:0005615; GO:0005886; GO:0007420; GO:0021527; GO:0046658,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.314080767,0.43857902,0.02741853,0.053650765,0.101798993,0.322955989,0.101798993,-0.616865493,0.495538361,-1.079060375,0.310346101,0.440672628,-7.910039434,"105,790",0.355883924,19,0,0,,,1
Q96KP4,CNDP2,CNDP2_HUMAN,cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; alanylglutamate dipeptidase activity [GO:0103046]; carboxypeptidase activity [GO:0004180]; cytosolic dipeptidase activity [GO:0102008]; metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]; glutathione biosynthetic process [GO:0006750],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12473676, ECO:0000269|PubMed:17121880}.",Cytosolic non-specific dipeptidase (EC 3.4.13.18) (CNDP dipeptidase 2) (Carnosine dipeptidase II) (Epididymis secretory protein Li 13) (Glutamate carboxypeptidase-like protein 1) (Peptidase A),GO:0004180; GO:0005654; GO:0005829; GO:0006750; GO:0008237; GO:0046872; GO:0070062; GO:0102008; GO:0103046,0.035092978,0.023349677,0.02108596,0.03452653,0.010019808,0.020301973,0.016564324,0.026859073,0.032196403,0.02702207,0.020301973,-0.007210618,0.024793625,-1.022213926,0.335003264,0.440795537,-7.969086026,"52,878",0.355762812,30,0,0,,1,1
Q8NB78,KDM1B,KDM1B_HUMAN,"nucleoplasm [GO:0005654]; nucleosome [GO:0000786]; nucleus [GO:0005634]; DNA binding [GO:0003677]; FAD binding [GO:0071949]; histone binding [GO:0042393]; histone demethylase activity [GO:0032452]; histone demethylase activity (H3-dimethyl-K4 specific) [GO:0034648]; histone demethylase activity (H3-monomethyl-K4 specific) [GO:0034649]; zinc ion binding [GO:0008270]; DNA methylation involved in gamete generation [GO:0043046]; histone H3-K4 demethylation [GO:0034720]; multicellular organism development [GO:0007275]; protein deubiquitination [GO:0016579]; regulation of DNA methylation [GO:0044030]; regulation of gene expression by genetic imprinting [GO:0006349]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]",SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.,Lysine-specific histone demethylase 1B (EC 1.-.-.-) (Flavin-containing amine oxidase domain-containing protein 1) (Lysine-specific histone demethylase 2),GO:0000786; GO:0003677; GO:0005634; GO:0005654; GO:0006349; GO:0006351; GO:0006355; GO:0007275; GO:0008270; GO:0016579; GO:0032452; GO:0034648; GO:0034649; GO:0034720; GO:0042393; GO:0043046; GO:0044030; GO:0071949,0.117185778,0.132449033,0.18144981,0.068713926,0.042681734,0.160458008,0.030054645,1.819637828,0.026419854,0.522227893,0.042681734,-0.776157218,0.803929023,-1.021177149,0.335466529,0.441024246,-7.970139948,"92,098",0.355537533,14,0,0,,1,1
Q15818,NPTX1,NPTX1_HUMAN,transport vesicle [GO:0030133]; metal ion binding [GO:0046872]; axonogenesis involved in innervation [GO:0060385]; central nervous system development [GO:0007417]; chemical synaptic transmission [GO:0007268],"SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle {ECO:0000305}.",Neuronal pentraxin-1 (NP1) (Neuronal pentraxin I) (NP-I),GO:0007268; GO:0007417; GO:0030133; GO:0046872; GO:0060385,1.00E-07,1.00E-07,1.00E-07,0.12169066,0.240751855,0.288178928,0.072918044,0.099270913,0.193039289,0.203979407,0.193039289,-0.080576289,0.219119951,-1.020259681,0.33587689,0.441124677,-7.971071892,"47,122",0.355438647,5,0,0,,,1
Q9P206,KIAA1522,K1522_HUMAN,cell differentiation [GO:0030154],,Uncharacterized protein KIAA1522,GO:0030154,0.18184252,0.233989174,0.140577241,0.107280609,0.060287792,0.14773908,0.150239469,0.081510396,0.229026187,0.166603602,0.14773908,-0.030301288,0.148911229,-0.976399545,0.355942331,0.457534102,-8.014853202,"107,095",0.339576531,12,0,0,,,1
Q13485,SMAD4,SMAD4_HUMAN,"activin responsive factor complex [GO:0032444]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; SMAD protein complex [GO:0071141]; transcription factor complex [GO:0005667]; chromatin binding [GO:0003682]; collagen binding [GO:0005518]; I-SMAD binding [GO:0070411]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; proximal promoter sequence-specific DNA binding [GO:0000987]; R-SMAD binding [GO:0070412]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; RNA polymerase II transcription factor binding [GO:0001085]; sulfate binding [GO:0043199]; transcription regulatory region DNA binding [GO:0044212]; transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0001077]; transforming growth factor beta receptor, common-partner cytoplasmic mediator activity [GO:0030616]; atrioventricular canal development [GO:0036302]; atrioventricular valve formation [GO:0003190]; axon guidance [GO:0007411]; BMP signaling pathway [GO:0030509]; brainstem development [GO:0003360]; branching involved in ureteric bud morphogenesis [GO:0001658]; cell proliferation [GO:0008283]; cellular iron ion homeostasis [GO:0006879]; cellular response to BMP stimulus [GO:0071773]; developmental growth [GO:0048589]; embryonic digit morphogenesis [GO:0042733]; endocardial cell differentiation [GO:0060956]; endoderm development [GO:0007492]; endothelial cell activation [GO:0042118]; epithelial to mesenchymal transition involved in endocardial cushion formation [GO:0003198]; female gonad morphogenesis [GO:0061040]; formation of anatomical boundary [GO:0048859]; gastrulation with mouth forming second [GO:0001702]; in utero embryonic development [GO:0001701]; interleukin-6-mediated signaling pathway [GO:0070102]; intracellular signal transduction [GO:0035556]; left ventricular cardiac muscle tissue morphogenesis [GO:0003220]; mesoderm development [GO:0007498]; metanephric mesenchyme morphogenesis [GO:0072133]; negative regulation of cardiac muscle hypertrophy [GO:0010614]; negative regulation of cardiac myofibril assembly [GO:1905305]; negative regulation of cell death [GO:0060548]; negative regulation of cell growth [GO:0030308]; negative regulation of cell proliferation [GO:0008285]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription, DNA-templated [GO:0045892]; nephrogenic mesenchyme morphogenesis [GO:0072134]; neural crest cell differentiation [GO:0014033]; neuron fate commitment [GO:0048663]; outflow tract septum morphogenesis [GO:0003148]; ovarian follicle development [GO:0001541]; positive regulation of BMP signaling pathway [GO:0030513]; positive regulation of cell proliferation involved in heart valve morphogenesis [GO:0003251]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of follicle-stimulating hormone secretion [GO:0046881]; positive regulation of histone H3-K4 methylation [GO:0051571]; positive regulation of histone H3-K9 acetylation [GO:2000617]; positive regulation of luteinizing hormone secretion [GO:0033686]; positive regulation of pathway-restricted SMAD protein phosphorylation [GO:0010862]; positive regulation of SMAD protein signal transduction [GO:0060391]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus [GO:1901522]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; pri-miRNA transcription by RNA polymerase II [GO:0061614]; protein deubiquitination [GO:0016579]; protein homotrimerization [GO:0070207]; regulation of binding [GO:0051098]; regulation of hair follicle development [GO:0051797]; regulation of transforming growth factor beta receptor signaling pathway [GO:0017015]; regulation of transforming growth factor beta2 production [GO:0032909]; response to hypoxia [GO:0001666]; response to transforming growth factor beta [GO:0071559]; sebaceous gland development [GO:0048733]; secondary palate development [GO:0062009]; seminiferous tubule development [GO:0072520]; single fertilization [GO:0007338]; SMAD protein complex assembly [GO:0007183]; SMAD protein signal transduction [GO:0060395]; somatic stem cell population maintenance [GO:0035019]; somite rostral/caudal axis specification [GO:0032525]; spermatogenesis [GO:0007283]; transforming growth factor beta receptor signaling pathway [GO:0007179]; uterus development [GO:0060065]; ventricular septum morphogenesis [GO:0060412]","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15799969, ECO:0000269|PubMed:17327236}. Nucleus {ECO:0000269|PubMed:15799969}. Note=Cytoplasmic in the absence of ligand. Migrates to the nucleus when complexed with R-SMAD (PubMed:15799969). PDPK1 prevents its nuclear translocation in response to TGF-beta (PubMed:17327236). {ECO:0000269|PubMed:15799969, ECO:0000269|PubMed:17327236}.",Mothers against decapentaplegic homolog 4 (MAD homolog 4) (Mothers against DPP homolog 4) (Deletion target in pancreatic carcinoma 4) (SMAD family member 4) (SMAD 4) (Smad4) (hSMAD4),GO:0000122; GO:0000790; GO:0000978; GO:0000981; GO:0000987; GO:0001077; GO:0001085; GO:0001541; GO:0001658; GO:0001666; GO:0001701; GO:0001702; GO:0003148; GO:0003190; GO:0003198; GO:0003220; GO:0003251; GO:0003360; GO:0003682; GO:0005518; GO:0005634; GO:0005654; GO:0005667; GO:0005737; GO:0005813; GO:0005829; GO:0006879; GO:0007179; GO:0007183; GO:0007283; GO:0007338; GO:0007411; GO:0007492; GO:0007498; GO:0008283; GO:0008285; GO:0010614; GO:0010718; GO:0010862; GO:0014033; GO:0016579; GO:0017015; GO:0030308; GO:0030509; GO:0030511; GO:0030513; GO:0030616; GO:0032444; GO:0032525; GO:0032909; GO:0033686; GO:0035019; GO:0035556; GO:0036302; GO:0042118; GO:0042733; GO:0042802; GO:0042803; GO:0043199; GO:0044212; GO:0045892; GO:0045893; GO:0045944; GO:0046872; GO:0046881; GO:0046982; GO:0048589; GO:0048663; GO:0048733; GO:0048859; GO:0051098; GO:0051571; GO:0051797; GO:0060065; GO:0060391; GO:0060395; GO:0060412; GO:0060548; GO:0060956; GO:0061040; GO:0061614; GO:0062009; GO:0070102; GO:0070207; GO:0070373; GO:0070411; GO:0070412; GO:0071141; GO:0071559; GO:0071773; GO:0072133; GO:0072134; GO:0072520; GO:1901522; GO:1905305; GO:2000617,0.192362186,0.032872252,0.149498721,0.091748391,0.142774832,0.009389758,0.02217534,0.024242425,0.087496599,0.087159495,0.024242425,-0.038533567,0.076482574,-0.931442353,0.377425299,0.480472851,-8.058129942,"60,439",0.318331147,11,1,0,,,1
Q96RG2,PASK,PASK_HUMAN,cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; ATP binding [GO:0005524]; phosphatidylinositol binding [GO:0035091]; protein serine/threonine kinase activity [GO:0004674]; energy homeostasis [GO:0097009]; negative regulation of glycogen biosynthetic process [GO:0045719]; positive regulation of translation [GO:0045727]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of glucagon secretion [GO:0070092]; regulation of respiratory gaseous exchange [GO:0043576],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17595531}. Nucleus {ECO:0000269|PubMed:17595531}. Note=Localizes in the nucleus of testis germ cells and in the midpiece of sperm tails.,PAS domain-containing serine/threonine-protein kinase (PAS-kinase) (PASKIN) (hPASK) (EC 2.7.11.1),GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0006468; GO:0035091; GO:0043576; GO:0045719; GO:0045727; GO:0046777; GO:0070092; GO:0097009,0.03932577,0.009701385,0.006539027,0.022738733,0.00181053,1.00E-07,1.00E-07,0.014011107,0.001652189,1.00E-07,0.001652189,-0.007714208,0.007351909,-0.907945706,0.389023871,0.492795549,-8.080087763,"142,929",0.307333223,18,3,2,,,1
Q8N4Q0,ZADH2,PTGR3_HUMAN,peroxisome [GO:0005777]; 13-prostaglandin reductase activity [GO:0036132]; 15-oxoprostaglandin 13-oxidase activity [GO:0047522]; zinc ion binding [GO:0008270]; negative regulation of fat cell differentiation [GO:0045599],SUBCELLULAR LOCATION: Peroxisome {ECO:0000250|UniProtKB:Q8BGC4}.,Prostaglandin reductase 3 (PRG-3) (EC 1.3.1.48) (Zinc-binding alcohol dehydrogenase domain-containing protein 2),GO:0005777; GO:0008270; GO:0036132; GO:0045599; GO:0047522,1.00E-07,0.071660188,0.032237907,0.019879638,0.05699868,0.001038197,0.020058547,0.016047442,0.02644445,1.00E-07,0.020058547,0.012512306,0.01786131,0.903194499,0.391400169,0.495127372,-8.08447182,"40,140",0.305283064,4,3,0,,,1
O75037,KIF21B,KI21B_HUMAN,cytoplasmic vesicle [GO:0031410]; dendrite [GO:0030425]; growth cone [GO:0030426]; kinesin complex [GO:0005871]; microtubule [GO:0005874]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; microtubule-based movement [GO:0007018],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q9QXL1}. Cell projection, dendrite {ECO:0000250|UniProtKB:Q9QXL1}. Cell projection, growth cone {ECO:0000250|UniProtKB:Q9QXL1}. Cell projection, axon {ECO:0000250|UniProtKB:Q9QXL1}. Cytoplasmic vesicle {ECO:0000250|UniProtKB:F1M5N7}.",Kinesin-like protein KIF21B,GO:0003777; GO:0005524; GO:0005871; GO:0005874; GO:0007018; GO:0008017; GO:0016887; GO:0030425; GO:0030426; GO:0031410,0.263372222,0.137642102,0.038684332,0.118325438,1.00E-07,1.00E-07,1.00E-07,0.000181024,0.112476692,0.054807848,1.00E-07,-0.022948519,0.034005863,-0.845901603,0.420875246,0.525653455,-8.135827944,"182,662",0.279300477,30,1,3,,,1
Q3B7J2,GFOD2,GFOD2_HUMAN,extracellular region [GO:0005576]; oxidoreductase activity [GO:0016491]; extracellular matrix organization [GO:0030198],"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.",Glucose-fructose oxidoreductase domain-containing protein 2 (EC 1.-.-.-),GO:0005576; GO:0016491; GO:0030198,0.091960555,0.039151817,1.00E-07,0.042173383,0.161699603,0.068197883,2.783744644,0.058156721,0.110810904,0.205793687,0.110810904,0.427322636,0.422860633,0.817402296,0.436100069,0.54188701,-8.160316797,"42,255",0.26609126,5,0,0,,,1
Q9Y4F5,CEP170B,C170B_HUMAN,cytoplasm [GO:0005737]; microtubule [GO:0005874],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q498L0}.",Centrosomal protein of 170 kDa protein B (Centrosomal protein 170B) (Cep170B),GO:0005737; GO:0005874,0.129456903,0.171308325,0.17016386,0.182558634,0.306267325,0.338827437,0.328617638,0.1639473,0.158451711,0.276799298,0.306267325,-0.037244977,0.277844771,-0.811387064,0.439361126,0.545206411,-8.16539416,"171,688",0.263439046,17,0,0,,,1
Q6ICG6,KIAA0930,K0930_HUMAN,,,Uncharacterized protein KIAA0930,,0.15520543,0.210069914,0.065199882,0.262395114,0.225139634,0.389602259,0.280449446,0.150674286,0.295700722,0.329461038,0.280449446,-0.053693337,0.295159938,-0.749849697,0.473669052,0.582618605,-8.215473599,"45,794",0.234615651,8,0,0,,1,1
Q13796,SHROOM2,SHRM2_HUMAN,apical plasma membrane [GO:0016324]; bicellular tight junction [GO:0005923]; cell-cell adherens junction [GO:0005913]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; extracellular exosome [GO:0070062]; microtubule [GO:0005874]; plasma membrane [GO:0005886]; actin binding [GO:0003779]; actin filament binding [GO:0051015]; beta-catenin binding [GO:0008013]; ligand-gated sodium channel activity [GO:0015280]; apical protein localization [GO:0045176]; brain development [GO:0007420]; camera-type eye development [GO:0043010]; camera-type eye morphogenesis [GO:0048593]; cell migration [GO:0016477]; cellular pigment accumulation [GO:0043482]; ear development [GO:0043583]; establishment of melanosome localization [GO:0032401]; eye pigment granule organization [GO:0008057]; lens morphogenesis in camera-type eye [GO:0002089]; melanosome organization [GO:0032438],"SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000250}. Cell junction, tight junction {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Note=Associates with cortical F-actin. {ECO:0000250}.",Protein Shroom2 (Apical-like protein) (Protein APXL),GO:0002089; GO:0003779; GO:0005737; GO:0005856; GO:0005874; GO:0005886; GO:0005913; GO:0005923; GO:0007420; GO:0008013; GO:0008057; GO:0015280; GO:0016324; GO:0016477; GO:0032401; GO:0032438; GO:0043010; GO:0043482; GO:0043583; GO:0045176; GO:0048593; GO:0051015; GO:0070062,0.059232501,0.043527513,0.035551352,0.037434076,0.030798612,0.011796113,0.043874822,0.023763502,0.041863651,0.019425982,0.030798612,0.007329913,0.026754384,0.690081776,0.508618113,0.619589337,-8.2607887,"176,410",0.207896065,42,1,0,,,1
